phenotype,ICD10_control_exclude,ICD10_case_include,ICD9_control_exclude,ICD9_case_include
Immune thrombocytopenia,"", D693 ,"",""
Inflammatory bowel disease,"", K50 | K500 | K501 | K508 | K509 | K51 | K510 | K511 | K512 | K513 | K515 | K518 | K519 | K52 | K528 | K529 ,"", 5641 | 5695 | 555 | 5550 | 5551 | 5552 | 5559 | 556 | 5569 | 558 | 5589 
"Inguinal, femoral, and abdominal hernia","", K40 | K400 | K401 | K402 | K403 | K404 | K409 | K41 | K410 | K411 | K412 | K413 | K414 | K419 | K42 | K420 | K421 | K429 | K44 | K440 | K441 | K449 | K45 | K450 | K451 | K458 | K46 | K460 | K461 | K469 ,"", 550 | 5500 | 5501 | 5509 | 551 | 5510 | 5511 | 5513 | 5518 | 5519 | 552 | 5520 | 5521 | 5523 | 5528 | 5529 | 553 | 5530 | 5531 | 5533 | 5538 | 5539 
Interstitial lung disease and pulmonary sarcoidosis,"", D869 | D86 | D860 | D861 | D862 | J84 | J840 | J841 | J848 | J849 ,"", 515 | 135 | 1359 | 5159 | 516 | 5160 | 5161 | 5162 | 5163 | 5168 | 5169 
Iodine deficiency,"", E00 | E000 | E001 | E002 | E009 | E01 | E010 | E011 | E012 | E018 | E02 ,"", 2442 
Kabuki Syndrome,"", Q870 ,"",""
Kidney cancer,"", Z8051 | C64 | C65 ,"", 20924 | 189 | 1890 | 1891 
Kleefstra Syndrome,"", Q878 ,"",""
Larynx cancer,"", Z8521 | C32 | C320 | C321 | C322 | C323 | C328 | C329 ,"", V1021 | 161 | 1610 | 1611 | 1612 | 1613 | 1618 | 1619 
Leukemia,"", Z806 | Z856 | C91 | C910 | C911 | C912 | C913 | C914 | C915 | C916 | C917 | C918 | C919 | C92 | C920 | C921 | C922 | C923 | C924 | C925 | C926 | C927 | C928 | C929 | C93 | C930 | C931 | C932 | C933 | C937 | C939 | C94 | C940 | C941 | C942 | C943 | C944 | C945 | C946 | C947 | C95 | C950 | C951 | C952 | C957 | C959 ,"", V166 | 204 | 2040 | 2041 | 2042 | 2048 | 2049 | 205 | 2050 | 2051 | 2052 | 2053 | 2058 | 2059 | 206 | 2060 | 2061 | 2062 | 2068 | 2069 | 207 | 2070 | 2071 | 2072 | 2078 | 208 | 2080 | 2081 | 2082 | 2088 | 2089 | V106 
Liver cancer,"", Z8505 | C22 | C220 | C221 | C222 | C223 | C224 | C227 | C229 ,"", V1007 | 155 | 1550 | 1551 | 1552 
Liver fibrosis / cirrhosis,"", K74 ,"",""
Long QT syndrome,"", I4581 ,"",""
Lymphocytic thyroiditis,"", E063 ,"", 2452 
Male infertility,"", N46 ,"", 606 
Maternal hemorrhage,"", O622 | O20 | O200 | O208 | O209 | O432 | O44 | O440 | O441 | O45 | O450 | O458 | O459 | O46 | O460 | O468 | O469 | O67 | O670 | O678 | O679 | O72 | O720 | O721 | O722 | O723 ,"", 640 | 6400 | 6408 | 6409 | 641 | 6410 | 6411 | 6412 | 6413 | 6418 | 6419 | 6612 | 666 | 6660 | 6661 | 6662 | 6663 
Maternal hypertensive disorders,"", O10 | O100 | O101 | O102 | O103 | O104 | O109 | O11 | O12 | O120 | O121 | O122 | O13 | O14 | O140 | O141 | O142 | O149 | O15 | O150 | O151 | O152 | O159 | O16 ,"", 642 | 6420 | 6421 | 6422 | 6423 | 6424 | 6425 | 6426 | 6427 | 6429 
MODY diabetes,"", E139 ,"",""
Multiple myeloma,"", C88 | C880 | C881 | C882 | C883 | C884 | C887 | C889 | C90 | C900 | C901 | C902 | C903 ,"", 203 | 2030 | 2031 | 2038 
Multiple Sclerosis,"", G35 ,"", 340 
Myalgic Encephalomyelitis/Chronic Fatigue Syndrome (ME/CFS),"", G933 ,"",""
Myocarditis,"", D8685 | B332 | I40 | I400 | I401 | I408 | I409 | I41 | I410 | I411 | I412 | I418 | I514 | I515 | I516 ,"", 0742 | 07423 | 422 | 4220 | 4229 | 4290 | 4291 
Narcolepsy type 1,"", G474 ,"",""
Non-functioning pituitary adenoma,"", D352 ,"",""
Non-Hodgkin lymphoma,"", C82 | C820 | C821 | C822 | C823 | C824 | C825 | C826 | C827 | C829 | C83 | C830 | C831 | C832 | C833 | C834 | C835 | C836 | C837 | C838 | C839 | C84 | C840 | C841 | C842 | C843 | C844 | C845 | C846 | C847 | C848 | C849 | C85 | C850 | C851 | C852 | C857 | C859 | C86 | C860 | C861 | C862 | C863 | C864 | C865 | C866 | C96 | C960 | C961 | C962 | C963 | C964 | C965 | C966 | C967 | C968 | C969 ,"", 200 | 2000 | 2001 | 2002 | 2008 | 202 | 2020 | 2021 | 2022 | 2023 | 2024 | 2025 | 2026 | 2028 | 2029 
Non-papillary transitional cell carcinoma of the bladder,"", C672 | C673 | C674 | C675 | C676 | C677 | C678 | C679 | C671 | C670 ,"",""
